Generation	Herbivores	Carnivores	Herbivores	Carnivores
0	21.3875	17.7375	31.66667	33.58333
1	22.21401	18.56401	32.49318	34.40985
2	23.04463	19.39464	33.3238	35.24047
3	23.18404	19.658	34.153	36.06966
4	24.03309	20.35069	34.91304	36.91304
5	24.86496	21.18188	35.74424	37.74424
6	24.18221	21.17682	36.56661	38.56661
7	25.01802	21.74691	37.40047	39.40047
8	25.83738	22.56572	38.21928	40.21928
9	25.21334	23.42833	39.08188	41.08188
10	25.88714	24.25499	39.90855	41.90855
11	26.57656	25.07609	40.72965	42.72964
12	26.06778	25.90817	39.39507	43.56173
13	22.78711	25.63512	37.63768	44.39507
14	22.08475	24.88681	38.47102	45.2284
15	21.17303	25.72051	36.98395	46.16173
16	20.98382	26.24062	37.81729	46.99507
17	21.32082	25.01515	38.65062	47.8284
18	21.09007	25.37884	37.1195	48.66173
19	21.84649	25.96865	37.95283	49.49507
20	22.48497	26.05287	38.78616	50.3284
21	20.288	25.86841	39.26643	51.16173
22	20.90461	26.702	39.76667	51.99507
23	21.4613	26.05462	40.6	52.8284
24	20.83075	26.49114	41.53334	53.66173
25	20.65802	27.32606	42.36667	54.49507
26	21.33097	26.62256	43.2	55.3284
27	20.9372	26.60595	44.23333	56.16173
28	19.97933	26.36115	42.77562	57.01236
29	20.94605	26.16052	43.61274	57.84947
30	21.52533	23.5271	39.64845	49.39763
31	20.85439	24.01685	38.40042	50.23296
32	21.15944	24.50097	39.216	51.04855
33	21.5943	23.55822	40.06599	51.89859
